Position	A1	A2	B1	B2
1:77752470	0	0	2.6	0
1:5282480	60.3	68.4	6.5	6.4
1:128889081	31.5	25	73.3	53.3
1:2408136	100	100	100	90
1:74377838	100	92.8	95.2	100
1:157252314	94.1	81.4	100	91.4
1:147023037	100	100	100	100
1:123322554	0	0	0	0
1:121879766	16.6	0	0	0
1:157071410	100	96.1	100	95
1:146206258	80	90	94.1	100
1:73189540	100	100	100	100
1:82573993	0	0	0	0
1:5242448	53.8	84.4	28.5	23
1:146945963	0	0	0	0
1:150308082	0	0	0	0
1:143990232	0	0	0	0
1:108552567	0	0	0	0
1:151287388	100	100	100	100
1:67963611	0	0	0	1.9
1:145178566	53.8	100	100	95.4
1:156735937	100	96.7	85.2	61.9
1:150309147	53.8	69.2	0	5.5
1:70494170	100	100	100	95.4
1:115904504	95.4	97	100	96.5
1:65463830	0	0	0	0
1:68013107	3.4	3.7	6.4	0
1:151485624	6.6	26.3	50	70.5
1:146436936	0	0	4.7	0
1:151452315	0	0	0	0
1:150084363	100	97.5	91.6	70.4
1:83476122	100	100	100	100
1:44727273	0	0	0	0
1:111681603	0	0	0	0
1:144360046	0	0	0	0
1:41859981	0	5	6.2	0
1:157171867	100	100	0	0
1:154221614	100	83.3	100	72.2
1:143742061	100	100	8.3	26.3
1:83609862	0	5.5	0	0
1:124944973	88.4	85.5	49	45.7
1:144795597	95	90.9	95.6	95
1:46420554	0	0	0	0
1:153046670	86.6	82.3	100	100
1:155834460	100	90.9	26.3	27.2
1:130662703	92.3	100	100	100
1:3721833	94.4	100	0	2.5
1:370633	4.1	0	4.7	3
1:73470677	0	0	0	0
1:42531106	0	0	0	0
1:36722090	0	0	0	0
1:147133385	0	0	0	0
1:146359085	84.6	100	100	100
1:154923333	5.5	0	0	0
1:146946491	0	0	0	0
1:145610258	0	0	0	0
1:154404008	92.3	92.8	100	100
1:41700527	0	0	0	0
1:146852389	100	100	100	100
1:154221098	94.7	100	93.3	100
1:118300231	0	0	0	0
1:128679670	0	0	0	0
1:59179695	0	0	0	0
1:146441669	90	94.4	92.3	100
1:150054403	0	0	0	0
1:153817614	92.8	91.6	35.4	93.9
1:125497123	50	81.8	5.8	4.3
1:146028277	85	100	100	97.4
1:81063429	0	0	0	4.1
1:143256744	0	0	0	3.4
1:146843932	0	0	0	0
1:65700205	0	0	0	0
1:70947155	0	0	0	0
1:144126115	83.6	79.8	30.4	20.1
1:128184595	100	90.9	5.2	0
1:147582068	100	96	100	96.7
1:93470299	0	0	5.2	0
1:143742197	100	100	11.1	8.5
1:81992606	0	0	0	0
1:2409612	100	100	100	96.1
1:84441073	0	0	0	0
1:146847414	100	93.7	100	100
1:83115450	27.2	30	94.1	100
1:130716977	66.6	86.6	100	100
1:146859658	0	0	0	0
1:143741195	100	97.2	29.1	14.2
1:155709061	100	100	100	94.7
1:67964137	4.3	0	0	0
1:145610028	0	0	0	0
1:145649308	95	96.4	100	100
1:146212509	100	100	93.9	100
1:1821247	7.1	15	62.5	14.2
1:144106557	91.4	89.2	25	26
1:72884142	94.1	100	95	100
1:155301152	0	4.5	0	0
1:147024647	100	100	100	100
1:82739357	95.8	96.5	95	97.3
1:154030024	94.4	100	0	3.8
1:45488865	0	0	0	0
1:37875543	0	0	0	0
1:143990384	0	0	0	0
1:35660011	0	0	0	0
1:1770176	64.2	40	0	0
1:144115771	90.8	90.7	30.1	22.3
1:153207117	98.3	93.2	34.5	30.5
1:941388	100	100	100	100
1:157481007	95.6	100	100	94.2
1:86751627	0	0	0	0
1:147736878	7.6	0	0	4.1
1:2067524	0	0	0	0
1:146517498	100	96.6	100	100
1:73801465	85.7	82.6	100	96.8
1:156640753	100	100	4.5	2.2
1:145387831	97.3	100	63.8	48.6
1:147608493	94.1	96.1	95	95.2
1:1627008	0	7.6	0	0
1:70946834	0	0	6.2	0
1:9280089	92.3	92.5	86.6	92.3
1:143651759	86.3	100	100	100
1:69282450	100	92.8	100	96.8
1:124348046	69.2	66.6	57.1	45.4
1:42458734	0	0	0	0
1:147625470	100	100	100	90.9
1:146989503	85.7	96	100	100
1:90306596	0	0	0	0
1:144087506	87.3	88.4	33.8	20.4
1:100157846	0	0	0	0
1:73820104	0	0	0	0
1:155810725	100	100	85.7	100
1:155789569	95.8	100	100	100
1:157016112	95	100	100	100
1:9525382	100	85.7	63.6	52.9
1:83532200	0	0	0	0
1:150690693	0	3.4	0	0
1:130107609	0	0	0	0
1:2768222	100	100	97.5	94.8
1:155951237	100	100	100	100
1:153427164	84.6	100	100	100
1:151651436	8.3	13.6	5.2	4.5
1:5292187	56.9	50.7	1.6	5.6
1:72945859	100	90.9	100	95
1:3988560	100	100	100	100
1:125885594	0	0	0	0
1:126987410	0	0	0	0
1:102996154	0	0	0	0
1:155786624	100	94.1	92.3	90.9
1:143534999	13.3	12.5	2.4	0
1:97308228	0	0	0	0
1:154222469	78.9	100	4.1	8.6
1:1988405	100	97.7	0	2.9
1:10069112	0	0	0	0
1:115836591	0	0	0	0
1:479031	0	0	0	0
1:145749155	78.9	84.2	72	29
1:1324762	0	0	0	0
1:144900928	0	0	100	100
1:107576388	0	0	0	0
1:3373739	95.8	100	100	100
1:152361649	0	0	100	59.2
1:155752489	100	100	2.9	0
1:96246405	0	0	0	0
1:43648248	95.8	100	2.7	9
1:2205137	0	0	0	2
1:71210804	94.4	87.5	100	100
1:3258111	4.7	0	0	0
1:44965550	0	0	0	0
1:155641752	100	100	100	86.6
1:146735291	94.1	97.4	4.3	12.8
1:20871279	0	0	3.4	0
1:83591406	0	0	0	0
1:143990523	0	0	0	0
1:114432045	0	0	0	0
1:155785815	100	100	100	100
1:135806116	94.4	100	63.6	55.5
1:34970686	0	0	0	0
1:108237778	0	0	0	0
1:146490930	0	0	0	0
1:155284508	5.5	18.7	100	100
1:83031193	93.3	100	100	100
1:150672972	0	0	0	0
1:65922633	0	0	0	0
1:150689761	10.5	15	0	0
1:28972627	0	0	0	0
1:69936461	8.3	11.7	100	100
1:154187735	0	0	0	0
1:96245486	0	0	0	0
1:140739486	0	0	0	0
1:6537645	79.1	57.1	0	2.5
1:131352425	0	0	0	0
1:145964827	100	95	92.3	100
1:2862700	100	90	100	100
1:73820210	0	0	0	0
1:110288555	0	3.5	0	3.4
1:34832222	94.7	100	63.6	43.4
1:157219193	100	94.4	100	92.3
1:145780441	100	100	92.3	100
1:8811360	8.3	0	0	0
1:154222664	100	100	0	0
1:57178469	0	0	0	0
1:121868735	0	0	0	0
1:74179124	88	91.4	96.2	100
1:1692199	86.6	90.4	95.8	100
1:153212535	62.1	65.5	11.3	10.2
1:150961871	28.5	35.2	0	0
1:144086027	90.9	86.2	18.4	21.4
1:2205398	0	0	0	0
1:1187745	0	0	0	0
1:67961945	10	0	0	5.8
1:110281224	23.8	16.6	6.2	0
1:157544040	100	100	88.8	95.8
1:150776371	100	100	95.2	100
1:153218669	96	98	52.5	46.9
1:45925278	93.7	91.3	100	100
1:71828503	91.6	90.9	100	100
1:1777116	0	0	0	0
1:46464446	0	0	0	0
1:114431458	0	0	0	0
1:68032631	93.3	93.3	100	95.4
1:127592462	0	0	0	0
1:2914665	0	0	0	0
1:155606490	100	100	95	89.4
1:127062683	44.4	26	0	0
1:76994402	4.7	0	0	0
1:32837339	45.4	48	0	0
1:128832330	100	96	97.5	97.5
1:108514455	100	93.3	87.5	94.1
1:146275058	95.2	97.1	100	100
1:109586954	0	0	0	0
1:144797849	91.6	78.9	100	97
1:98346512	91.3	94.7	0	3.3
1:50334231	0	0	4.5	0
1:5242822	76.1	80.7	6	6.1
1:143581232	100	100	92.8	100
1:1714591	86.6	96.6	100	100
1:10202702	0	3.3	0	0
1:155316223	84.6	100	100	100
1:107878913	0	0	0	0
1:131307311	92.3	100	100	100
1:50332634	0	0	0	0
1:5268431	85.7	89.4	14.2	50
1:148417506	0	0	3.8	0
1:133439183	5.8	0	0	0
1:132447460	0	0	0	0
1:8812151	0	0	0	0
1:2917904	0	0	0	0
1:146437195	0	0	0	0
1:2439412	100	96	95.8	95.4
1:72081259	88	81.4	100	100
1:2204993	0	0	0	0
1:142740702	0	22.2	0	0
1:59420479	100	100	22.7	0
1:150029306	100	100	0	2.2
1:58880328	0	0	0	0
1:111318835	0	0	2.8	0
1:44931492	100	100	60	76.9
1:1017651	100	100	94.4	100
1:5275677	90	75	30.7	25.6
1:44873261	94.7	94.4	100	88.4
1:57853247	90.9	92.8	0	0
1:147002851	90.9	100	14.2	0
1:124941262	73.1	71.4	0	5.5
1:147647224	100	100	100	100
1:123322625	0	0	0	2.5
1:148266841	0	0	0	0
1:146947269	0	0	0	0
1:103003685	88.8	90.9	72	51.4
1:136435296	0	0	0	0
1:147040853	90	92.8	100	100
1:146768306	0	0	0	0
1:89357700	96.2	100	100	100
1:153817559	82.3	95	100	88.8
1:3256082	0	18.1	0	0
1:73104990	75	100	0	2.6
1:370794	0	0	8.3	0
1:73800246	100	90.9	100	100
1:143612879	93.7	100	100	90.4
1:1004676	90.9	90.4	94.1	100
1:145283640	0	0	0	0
1:155884447	100	91.3	93.9	100
1:154064732	100	93.3	89.4	100
1:144897059	0	21.4	92.3	100
1:58662816	0	0	0	0
1:100157868	0	0	0	0
1:111307748	0	0	0	0
1:1776418	10	0	0	0
1:3121871	0	0	0	0
1:52549501	0	0	0	0
1:154139797	0	80	100	100
1:145705061	100	100	100	100
1:115479854	0	0	0	0
1:44661799	50	72	0	12.5
1:132443256	9.5	15.1	0	0
1:119438657	77.7	65.2	0	0
1:144819890	95.6	88.4	91.3	100
1:85750355	93.7	96.1	9.6	37.5
1:143594467	95.6	100	100	92.8
1:148555860	100	92.8	95.2	91.6
1:99073225	0	0	0	0
1:36722081	0	0	4.3	0
1:143866793	76.4	100	92	100
1:121893467	5.5	8.6	11.7	0
1:144103930	77.9	70	9.2	10.5
1:153212506	88.9	93.1	25.3	26
1:133526485	0	0	0	0
1:145936015	100	94.7	100	100
1:83424761	0	9.5	7.6	0
1:117828748	100	88.4	100	95.2
1:146728582	0	0	85.7	70.4
1:111349337	9	27.2	100	100
1:132288279	94.1	92.3	88.2	88.4
1:155169073	100	95.4	100	100
1:111856962	0	0	0	0
1:111686595	0	0	0	0
1:68038322	93.3	93.7	96.7	100
1:81584874	90	75	91.6	100
1:146318363	100	100	97.4	100
1:128085647	0	4.7	0	0
1:73820089	0	0	0	0
1:97803038	0	0	0	0
1:147040647	100	95.6	96	100
1:80186891	0	0	0	0
1:149973093	89.4	85.1	90	89.4
1:150439795	82.3	90.9	5.2	3.2
1:143792420	100	100	100	100
1:5263552	0	10	0	1.5
1:9243143	0	0	0	0
1:65323602	88.8	96.4	25.9	23.8
1:71611398	0	0	0	0
1:67843275	4.1	12	0	0
1:3373339	95.2	90.4	100	95.8
1:1811676	73.9	69.6	100	96.5
1:57457561	93.7	64.7	25	12
1:150725359	100	100	95	80.9
1:146697335	100	96	100	91.3
1:94522288	61.5	57.1	5	0
1:138679359	100	96.7	94.4	47
1:2211108	94.1	91.6	100	93.3
1:45091436	100	94.1	0	0
1:2439418	100	100	100	90.9
1:65463471	0	0	0	0
1:71248228	0	0	0	0
1:100157794	0	0	0	0
1:80936627	0	0	0	0
1:94742106	0	0	0	0
1:147790343	86.6	91.6	100	87.5
1:147058126	100	100	0	0
1:154222506	94.7	100	0	8.6
1:52550823	0	0	0	0
1:922636	0	0	0	0
1:146216893	0	0	0	0
1:133439081	3.5	2.6	0	0
1:143048385	0	0	0	0
1:70276662	0	0	0	0
1:146694744	95.2	100	100	95.3
1:1805044	0	16	100	97
1:242532	0	0	0	0
1:147269839	86.6	84	100	100
1:3110876	95.2	94.7	84.6	89.4
1:64784129	100	100	95.6	100
1:155009991	0	0	0	0
1:84030123	0	0	0	0
1:74228049	88.8	87.5	94.1	95.8
1:18719540	0	0	0	0
1:104146698	100	100	10	0
1:154895805	58.3	60.8	94.4	84.6
1:143582718	94.1	95.2	95.4	30.7
1:121893241	0	0	0	0
1:68937018	0	0	0	0
1:73094878	7.6	13.5	100	100
1:130108767	0	0	0	0
1:144097509	74.1	70.8	9.4	5.8
1:146147108	0	6.8	94.7	100
1:146643296	95	94.1	100	100
1:145487519	25	47.8	94.7	100
1:142533057	3.4	0	0	0
1:149570891	100	100	100	96.7
1:107926956	0	0	0	0
1:143021917	100	88.2	0	0
1:18910605	0	0	0	0
1:156640831	100	100	0	0
1:155785832	93.7	96	100	96.2
1:59064080	0	0	0	0
1:154276749	91.3	100	96.1	100
1:146051519	80	57.8	91.3	100
1:144601418	100	95.8	100	100
1:2359688	0	10.5	0	6.2
1:144121641	82.6	84.6	17.2	18.1
1:136435511	0	0	0	0
1:83591713	0	0	0	0
1:147093707	90.9	95.8	100	100
1:3687960	100	95.6	92.8	94.7
1:147344077	100	100	100	100
1:145466210	100	95.2	0	0
1:154923446	0	0	0	0
1:71611404	0	0	0	0
1:72953799	100	100	100	100
1:146572771	90	100	100	96.5
1:148776482	0	0	0	0
1:145466132	100	100	25	19
1:128660002	0	0	100	100
1:128261273	100	100	93.7	100
1:146147183	3.5	10.7	100	100
1:3972325	100	72.2	91.6	88.2
1:84441895	0	3.4	3.2	0
1:146508182	100	100	100	95.4
1:142535278	0	0	31.2	41.3
1:21598855	0	0	0	0
1:104146767	100	86.6	10	0
1:73820409	7.1	5.4	0	0
1:143755728	0	0	0	0
1:83424859	0	0	0	0
1:65325204	91.8	90.4	22.8	14.8
1:148177822	14.2	0	0	0
1:59387408	100	100	41.6	30.7
1:108551920	0	0	0	0
1:148616605	94.4	91.6	93.3	100
1:67722337	0	0	0	0
1:127827439	0	2.5	0	0
1:95794410	5	0	0	0
1:145787521	100	93.3	100	100
1:146851007	95.8	96	100	96.8
1:142175540	91.6	92	5.2	6.8
1:144592149	100	100	100	96.6
1:65700412	0	0	0	0
1:146056283	95.2	93.3	95.8	94.4
1:1828784	0	0	0	0
1:25316472	100	85.7	89.4	89.6
1:150512045	90.9	100	100	88.2
1:150057927	9	40	0	0
1:149491105	87.5	87.5	87.5	96
1:98517571	8.3	0	0	0
1:3258094	0	0	0	0
1:152940218	100	100	90.9	95.4
1:50881314	0	0	0	0
1:145432502	81.5	78.9	16.6	8.9
1:145102326	90.3	97	3.5	2.3
1:29318542	96.1	94.7	36.3	27.2
1:118805254	90	92	23.5	34.6
1:144089259	65.1	80.5	24.4	16.4
1:2917741	0	0	0	0
1:64835401	0	0	0	0
1:37720191	85.7	92.3	100	96.6
1:143538418	4.5	26.6	8.3	0
1:146946902	0	0	0	0
1:6174091	100	100	4.3	0
1:84841751	0	0	0	0
1:128184528	100	86.9	0	8.3
1:401131	0	5.8	0	0
1:147562844	94.4	73.6	100	95
1:26087849	4.3	0	0	0
1:57177851	0	25	0	0
1:155106484	100	100	92.3	100
1:58662474	0	0	0	0
1:88289026	0	0	0	0
1:150384313	91.6	100	100	100
1:80185820	0	0	0	0
1:37691050	100	92.8	0	0
1:57468489	66.6	86.4	57.5	48.2
1:18909372	0	0	0	0
1:146866476	88.8	90.3	100	100
1:1829467	0	0	0	0
1:81251982	0	0	0	0
1:111856988	0	0	6.6	0
1:151415892	100	100	100	100
1:148123754	100	93.7	100	100
1:119985605	0	0	0	0
1:148704731	86.6	100	100	100
1:150176757	100	100	100	93.7
1:146517489	100	95.2	100	100
1:68153256	0	0	0	0
1:118536617	0	0	0	0
1:145687388	100	100	95.8	100
1:104043143	96.2	100	53.5	78.3
1:4792947	95.2	100	60	78.2
1:153653264	87.5	95	100	100
1:154070402	88.8	96.1	100	100
1:59552535	100	97.5	96.2	100
1:117954020	0	0	5	0
1:93470198	0	0	0	0
1:86755188	100	90.9	100	100
1:59433600	94.1	100	5.2	0
1:79126248	87.5	100	100	100
1:131862910	55.5	50	2.8	2.4
1:158198032	100	96	0	2.5
1:743146	100	100	100	90.9
1:110276695	0	0	0	0
1:146217980	95	85.7	4.1	0
1:146572677	90	94.4	95.2	100
1:3753458	80.9	87.1	3.2	3
1:157266607	0	0	0	0
1:145493047	95.4	100	100	100
1:110276891	0	0	0	0
1:146028831	95.4	100	100	95.6
1:70054367	92.3	100	100	100
1:57484553	80.3	87.5	10.7	8.6
1:135621197	90	100	90	100
1:130108672	0	0	0	0
1:117952679	0	0	10	6.6
1:84569767	100	100	100	93.7
1:148775695	0	4	0	0
1:144729502	0	0	0	0
1:74359217	72.7	88	100	100
1:64835409	0	0	0	0
1:155802034	100	100	0	0
1:121854916	8.3	0	0	0
1:150943560	0	0	0	0
1:135806025	77.7	71.4	9	5.5
1:73105104	93.7	100	0	0
1:142853011	77.7	93.1	100	93.3
1:153971574	0	0	0	0
1:81464016	0	0	0	0
1:6537653	54.1	28.5	0	2.5
1:108723081	92.8	94.1	100	94.7
1:144109101	73.6	84.1	19	16.9
1:125884846	0	0	0	0
1:157416227	100	90.4	77.2	83.3
1:118475394	0	0	0	0
1:67613466	0	0	3.1	0
1:144985499	100	100	100	94.1
1:152695452	0	0	0	0
1:111318951	0	0	0	0
1:119150499	0	0	0	0
1:111856959	0	0	0	0
1:93347913	100	93.1	100	95.8
1:137498640	11.1	8.6	2.9	0
1:123230985	5.8	0	0	0
1:88074920	0	0	0	0
1:74072271	53.3	33.3	95.4	100
1:101236254	92.3	75.8	100	86.4
1:108499670	92.3	84.2	96.9	100
1:72884208	100	93.7	95.2	100
1:155406101	93.7	93.3	0	0
1:147014671	93.3	100	100	100
1:45066255	0	7.6	0	0
1:146768322	0	0	0	0
1:145028622	0	4.5	0	0
1:154235078	88.2	91.3	100	93.5
1:83424873	0	0	5.5	8.6
1:82457059	93.3	100	38	0
1:155787977	100	100	100	92.3
1:42531132	0	0	0	0
1:71408102	100	100	100	100
1:146217889	0	0	0	0
1:1865489	100	100	94.8	100
1:141230949	0	0	0	0
1:147014620	78.5	83.3	100	93.3
1:96789328	0	0	0	0
1:2902044	57.8	37.5	3.2	100
1:85934400	0	0	0	0
1:83442878	0	0	0	0
1:146586893	13	15.1	100	96
1:97845816	0	0	0	0
1:121868273	8.3	0	0	0
1:83591676	0	0	0	0
1:83841271	92.8	90.9	83.3	100
1:143021076	94.7	95.2	0	0
1:112816299	0	0	0	0
1:146311259	90.9	83.3	100	100
1:143520499	100	92.8	100	100
1:117094188	92.3	89.2	83.3	93.7
1:72709135	0	0	0	0
1:150153662	100	88.2	94.1	100
1:153324589	86.2	80	90.9	100
1:152563510	92.3	100	100	100
1:124944949	65	62.6	9.8	7
1:150054414	0	0	4.7	8
1:155876835	84.6	76.9	89.4	100
1:132003091	0	0	0	0
1:143255485	0	0	0	5.8
1:54424112	95	100	96.4	93.7
1:144395694	33.3	25	100	93.7
1:57462684	91.6	100	7.1	4.3
1:146211105	100	100	60	100
1:35753247	0	0	0	0
1:26087586	5.5	0	0	0
1:117561460	100	93.3	100	90.9
1:133226522	54.5	95.8	10	5.8
1:146959106	100	95	100	100
1:34707969	5.5	4.1	4.7	4
1:147408405	95.2	84.2	72.7	50
1:5235177	95.8	93.7	28.5	31
1:128916909	0	0	0	0
1:1828814	8.6	0	0	0
1:72607696	4.3	6.6	0	0
1:67087890	100	95	57.1	54.5
1:46316836	0	0	0	0
1:84441853	0	0	3.2	0
1:143990202	4.7	0	0	0
1:154761164	35.2	23.3	0	6
1:10520299	0	0	100	91.6
1:9041648	92.8	95.6	95.4	92.3
1:157907447	100	89.4	6.2	0
1:98517521	0	0	0	0
1:135855816	87.5	95.6	90	72.7
1:145041345	0	0	0	0
1:155204783	100	100	100	100
1:47545795	100	40	100	100
1:145029220	0	0	0	0
1:11274006	51.3	70.2	10.5	10.6
1:151452405	0	0	0	0
1:109662233	0	0	0	0
1:58837257	0	0	0	0
1:118475908	0	0	0	0
1:147856822	0	0	0	0
1:103877696	95.4	92.3	60	72.2
1:144117478	70.2	80	9.6	7.5
1:44701152	3.5	9.3	12.5	10.7
1:156736722	95.4	95.4	62	14.2
1:146190601	0	0	96.5	100
1:145609917	0	0	0	0
1:28972709	0	0	0	0
1:83521400	0	0	4.3	6.2
1:154219315	57.1	72.4	0	0
1:154923283	0	0	0	4.3
1:5289887	67.7	67.3	4.8	5.9
1:110278487	0	4.5	0	0
1:67947284	50	59	100	100
1:15624872	71.4	92.3	100	100
1:152873166	0	0	0	0
1:127317821	0	0	0	0
1:73515929	0	0	0	0
1:150944099	0	0	0	0
1:146264394	100	100	100	100
1:136054193	0	0	0	0
1:150025362	100	100	100	100
1:155182698	100	100	0	12.5
1:127469448	0	0	0	0
1:145756694	0	0	0	0
1:130107797	3.5	4.3	0	0
1:146696695	100	85	100	87.5
1:142911419	100	100	100	100
1:150434436	90	96.9	93.7	93.1
1:107576630	0	0	0	0
1:83484869	0	0	0	0
1:153233692	0	0	0	0
1:125883943	0	0	0	0
1:121867886	25	0	0	5.5
1:155446059	91.6	100	100	95.8
1:79782918	0	0	0	3.7
1:117711163	76.9	94.1	100	100
1:155009983	0	0	0	0
1:131564331	0	0	0	0
1:143582721	100	97.2	100	45.1
1:83442693	0	6.2	0	0
1:72933679	100	0	100	59
1:143990412	0	0	2.7	0
1:147642327	100	100	93.3	100
1:153494670	3.7	2.9	0	0
1:1407762	0	0	0	0
1:144128307	80	66.6	23.5	20.6
1:141029560	0	0	0	0
1:133439207	0	0	0	0
1:145628659	94.4	100	100	100
1:155681038	93.3	100	100	100
1:144729590	0	0	0	0
1:21597085	0	0	0	5.8
1:144092297	68.4	72.1	3.2	4.9
1:111630838	90	84.6	17.3	11.7
1:97802941	0	0	0	0
1:150308067	0	0	0	0
1:52498745	100	96.9	100	100
1:143594452	100	95.8	100	100
1:146131997	10	6.2	93.7	95.8
1:145029245	0	0	0	0
1:127041788	0	3.1	0	3.9
1:82128105	100	100	100	94.4
1:99580959	93.3	59	100	96
1:69917377	0	0	0	0
1:71516546	0	0	0	0
1:129041100	0	0	0	0
1:143462248	88.2	96.6	100	100
1:68668565	86.6	96.5	82.3	72.7
1:143582780	100	100	96.2	19.3
1:74237958	30	53.5	0	0
1:83484899	0	0	0	0
1:148775787	0	0	0	0
1:121893288	7.1	0	0	0
1:11270368	78.3	80.5	24.2	13.2
1:45091292	72.7	80	0	0
1:147584135	90.9	100	100	100
1:118537147	0	0	0	0
1:150018729	86.6	92.3	90	100
1:21598084	0	0	0	0
1:155839936	93.5	96.7	96.6	92.8
1:3258142	0	0	0	0
1:148017093	0	0	0	0
1:136598483	94.7	100	100	100
1:142483345	72.7	58.8	100	100
1:153494800	5.2	9.5	0	0
1:40608019	0	0	0	0
1:143633734	0	0	0	0
1:155835025	94.7	100	54.1	45.7
1:7556651	85.7	75	65	63.1
1:131336669	54.5	39.1	95	100
1:143538368	10.5	46.1	10	5.2
1:146864052	95.2	100	100	100
1:155958570	100	100	100	100
1:144494279	0	0	0	0
1:128873310	100	95	100	100
1:135805920	80	94.1	0	0
1:121892856	0	5.2	0	4.5
1:155205065	93.7	94.1	92.8	100
1:135657501	0	4.7	0	7.1
1:26088237	0	6.2	0	0
1:44661767	59	72	6	12.5
1:158081689	0	11.7	0	0
1:154260103	100	100	100	96.4
1:100026961	0	0	0	5.7
1:88075087	0	0	0	0
1:155833725	84.6	100	9.3	0
1:83485443	0	0	0	0
1:64945076	58.3	55.5	100	100
1:146147138	0	3.5	100	100
1:71331944	76.9	76.4	100	95.2
1:126874423	0	0	0	0
1:111856787	0	0	0	0
1:144597680	100	93.7	100	100
1:6415072	100	95.4	0	0
1:178480	30.7	33.3	0	0
1:147132316	0	0	0	0
1:83458832	92.3	95.2	100	100
1:69038806	0	0	4.7	0
1:144118661	69.2	67.4	10.3	6
1:2211139	88.4	100	100	100
1:45066248	9	16	4.7	0
1:147736946	0	0	0	0
1:127591932	0	0	4.7	0
1:131742487	100	100	100	100
1:4753280	78.5	91.6	91.6	88.2
1:5272257	93.9	94.5	33.7	25.6
1:1189161	0	0	0	0
1:128085665	0	4.7	3.7	0
1:145792903	100	94.7	100	100
1:107773571	0	0	0	0
1:131722756	0	7.6	0	0
1:58384518	5.8	0	9	0
1:151572692	90	92.8	100	100
1:124942306	87.1	81.2	13.3	20
1:26954580	0	0	0	0
1:110281122	0	4.3	0	0
1:145075303	0	0	0	0
1:128468024	0	0	0	0
1:73741772	31.2	36.8	0	0
1:146850818	100	96.7	100	100
1:131578598	0	0	4.7	0
1:99073192	0	0	0	0
1:6146395	100	100	100	100
1:45423167	100	100	5.5	0
1:97845599	0	0	0	0
1:147315503	100	95.4	100	100
1:140862554	0	0	0	0
1:145174852	43.7	27.2	90	100
1:73800586	100	90	90	93.7
1:153046640	90.9	96.1	100	100
1:1324724	0	0	0	0
1:8810525	0	9.5	0	0
1:11273716	58.9	71.6	8.7	2.6
1:143534907	5	21.4	0	0
1:144116984	100	88	66.6	47.8
1:150163505	0	0	0	0
1:18909430	0	0	0	0
1:133525100	0	0	0	0
1:82210350	0	0	4	0
1:135696832	93.7	95.4	94.4	97.2
1:67448563	0	0	0	0
1:71406516	0	0	0	0
1:146036525	0	13	71.4	66.6
1:155636677	100	100	100	96
1:128085427	0	0	0	0
1:146920644	100	100	94.4	100
1:144428431	3	6	100	100
1:146850769	100	100	100	83.3
1:136088292	95	94.4	100	96.4
1:148734536	91.6	94.7	100	100
1:130861977	95.6	77.4	100	100
1:126363617	94.7	90.6	0	0
1:88389816	0	0	0	0
1:150675282	0	6.2	0	0
1:117954280	0	0	0	0
1:83343046	100	100	100	100
1:144729607	0	0	0	0
1:68012211	0	0	0	0
1:146946306	0	0	0	0
1:145108188	100	100	0	0
1:1743764	4.3	18.1	0	0
1:143296095	100	100	100	100
1:144745011	94.7	100	100	95
1:27738650	73.6	93.3	90	95
1:73484515	0	0	3.4	0
1:135945466	0	0	0	0
1:130217046	81.2	90.9	100	94.7
1:125885531	0	0	0	0
1:42531284	0	0	0	0
1:127041862	0	0	0	0
1:144493737	0	0	0	0
1:125885599	0	0	0	0
1:150308101	0	0	0	0
1:126873901	0	0	0	0
1:145041393	0	0	0	0
1:478849	0	0	0	0
1:1307085	0	0	0	0
1:148016535	0	0	0	0
1:57786466	0	0	0	0
1:100290383	94.7	96.2	91.3	83.3
1:144052607	95.4	95.4	100	100
1:83860189	0	0	2.8	0
1:155685679	94.1	96.1	0	0
1:134190442	0	0	0	0
1:154139277	66.6	86.6	100	92.3
1:74377851	100	92.8	100	100
1:111318789	0	0	0	0
1:98396603	0	0	12.5	8
1:148555884	90	90.9	100	90.9
1:35136576	100	95.4	100	100
1:44924545	96.1	100	100	100
1:156685490	100	100	8.3	0
1:114718684	100	83.3	26.6	5.2
1:6475297	0	0	0	0
1:131140374	96.6	97.4	92	95.2
1:146216610	0	0	0	0
1:133912836	100	100	100	87.5
1:72701535	100	100	100	100
1:64622632	100	100	94.1	100
1:20382422	86.6	85.7	66.6	76.4
1:141013071	0	0	0	0
1:95585911	0	0	0	0
1:153157053	87.5	92.8	96	59
1:145705726	100	100	95	95
1:121867935	16.6	0	0	0
1:41859656	0	0	0	0
1:1824773	5.8	10.5	0	0
1:146000555	94.1	92	100	100
1:96104227	94.1	94.1	100	100
1:68422369	0	0	0	0
1:68380695	100	92	100	100
1:95185549	16.6	7.1	0	0
1:131252052	5.5	9	0	0
1:68420729	0	3.8	0	0
1:144589483	93.7	92.8	100	100
1:107773690	0	0	0	0
1:71839966	0	0	0	0
1:70419044	0	0	0	0
1:64645244	0	0	0	0
1:146989442	94.7	100	100	100
1:150308064	0	0	0	0
1:88389847	0	0	0	0
1:71965732	0	0	0	0
1:110277011	3.7	0	0	0
1:144104030	52.9	71.8	16.6	16.6
1:145770185	0	0	0	3.2
1:147120370	0	0	100	95.6
1:80936760	0	0	4.5	0
1:153233826	0	0	0	0
1:144479340	0	0	88.8	90.9
1:127041806	0	0	0	0
1:145695883	0	0	0	0
1:145216379	94.1	100	100	100
1:83521759	0	0	5	0
