Ensembl Gene ID	Associated Gene Name	Description	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
ENSBTAG00000015025	YAF2	YY1 associated factor 2 [Source:HGNC Symbol;Acc:HGNC:17363]	5	38674059	38753871	1
ENSBTAG00000001987	SWAP70	SWAP switching B-cell complex 70kDa subunit [Source:HGNC Symbol;Acc:HGNC:17070]	15	43509670	43585976	-1
ENSBTAG00000009390	FAM188B	family with sequence similarity 188 member B [Source:HGNC Symbol;Acc:HGNC:21916]	4	65865704	65984140	-1
ENSBTAG00000016730	ANP32E	acidic leucine-rich nuclear phosphoprotein 32 family member E  [Source:RefSeq peptide;Acc:NP_001068774]	3	20453150	20465219	1
ENSBTAG00000014806	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:813]	19	25163841	25198117	-1
ENSBTAG00000014043		Excision repair cross-complementing rodent repair deficiency, complementation group 5; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q3B7N6]	12	83026396	83093936	1
ENSBTAG00000000260	ZNRF2	zinc and ring finger 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:22316]	4	66362578	66453938	-1
ENSBTAG00000027722	IPO7	importin 7 [Source:HGNC Symbol;Acc:HGNC:9852]	15	43781463	43825036	-1
ENSBTAG00000004269	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	9	73305313	73310869	-1
ENSBTAG00000026422	MPG	N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]	25	139711	146961	1
ENSBTAG00000011433	RGP1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]	8	60328033	60333812	1
ENSBTAG00000020174	HBS1L	HBS1 like translational GTPase [Source:HGNC Symbol;Acc:HGNC:4834]	9	74011379	74096501	-1
ENSBTAG00000019024	JAZF1	JAZF zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:28917]	4	68444078	68773093	1
ENSBTAG00000020919	EVX1	even-skipped homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3506]	4	69252420	69255793	-1
ENSBTAG00000016571		Protein ITFG3  [Source:UniProtKB/Swiss-Prot;Acc:Q2HJE5]	25	282554	290839	1
ENSBTAG00000001455	HOXA7	homeobox A7 [Source:HGNC Symbol;Acc:HGNC:5108]	4	69340738	69342484	1
ENSBTAG00000016991	EFNB2	ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]	12	86242384	86263272	-1
ENSBTAG00000015888	PDE7B	phosphodiesterase 7B [Source:HGNC Symbol;Acc:HGNC:8792]	9	75034593	75191797	1
ENSBTAG00000008310	TMEM9B	TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]	15	44215628	44234314	1
ENSBTAG00000045907		tumor necrosis factor ligand superfamily member 13B  [Source:RefSeq peptide;Acc:NP_001107978]	12	87654333	87671973	1
ENSBTAG00000001137	CLTA	clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]	8	60849478	60867215	1
ENSBTAG00000007453	NELFE	negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]	23	27219377	27225118	1
ENSBTAG00000006609	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	16	46201192	46215455	1
ENSBTAG00000016575	PDIA2	protein disulfide-isomerase A2 precursor  [Source:RefSeq peptide;Acc:NP_001092331]	25	309841	312520	1
ENSBTAG00000007436	GGT6	gamma-glutamyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:26891]	19	25652195	25655086	-1
ENSBTAG00000015156			21	57388583	57395511	-1
ENSBTAG00000014602	CAMTA1	calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]	16	46468328	46566127	-1
ENSBTAG00000015311	PTPRR	protein tyrosine phosphatase, receptor type R [Source:HGNC Symbol;Acc:HGNC:9680]	5	42837597	43112731	1
ENSBTAG00000012498	PAX5	paired box 5 [Source:HGNC Symbol;Acc:HGNC:8619]	8	61399822	61566719	-1
ENSBTAG00000012849	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	12	88876125	89009422	-1
ENSBTAG00000021706	TBX3	T-box 3 [Source:HGNC Symbol;Acc:HGNC:11602]	17	62352245	62363636	1
ENSBTAG00000016591	RAB11FIP3	RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]	25	404964	464143	1
ENSBTAG00000007761	ZBTB5	zinc finger and BTB domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23836]	8	61954947	61981732	-1
ENSBTAG00000033739	PRR35	proline rich 35 [Source:HGNC Symbol;Acc:HGNC:14139]	25	493355	495342	1
ENSBTAG00000008350	KLHL21	kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]	16	47645900	47659012	1
ENSBTAG00000016594	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]	25	502771	511059	1
ENSBTAG00000003107	LHX5	LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]	17	63254162	63263364	1
ENSBTAG00000003749	KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:6289]	5	43266425	43347032	-1
ENSBTAG00000014936		MCART1 protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:A5PJY3]	8	62434127	62452580	-1
ENSBTAG00000003748	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	5	43361161	43494162	-1
ENSBTAG00000007880	RAB40C	RAB40C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18285]	25	517559	539514	1
ENSBTAG00000008068	ERLEC1	endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]	11	36371087	36395686	1
ENSBTAG00000002737	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30912]	25	540854	543387	1
ENSBTAG00000006515	ESPN	espin [Source:HGNC Symbol;Acc:HGNC:13281]	16	47757077	47791502	-1
ENSBTAG00000015593	KIAA0753	KIAA0753 [Source:HGNC Symbol;Acc:HGNC:29110]	19	25855154	25906713	1
ENSBTAG00000003719	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	8	63071039	63173712	1
ENSBTAG00000014387	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379]	3	22635094	22646401	1
ENSBTAG00000021202	ACOT7	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	16	47827124	47934930	1
ENSBTAG00000009732	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	8	63298019	63335301	1
ENSBTAG00000011466	NAXD	NAD(P)HX dehydratase [Source:HGNC Symbol;Acc:HGNC:25576]	12	89236913	89249030	1
ENSBTAG00000019008	FBXL16	F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	25	569058	605515	-1
ENSBTAG00000033677	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]	25	584211	598822	1
ENSBTAG00000011471	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:HGNC:25695]	12	89251280	89270403	-1
ENSBTAG00000004008	FAM199X	family with sequence similarity 199, X-linked [Source:HGNC Symbol;Acc:HGNC:25195]	X	58613667	58638203	1
ENSBTAG00000020726	ARHGEF7	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]	12	89451354	89552212	1
ENSBTAG00000009614	NRROS	Bos taurus leucine rich repeat containing 33 (NRROS), mRNA. [Source:RefSeq mRNA;Acc:NM_001034391]	1	71765081	71791874	1
ENSBTAG00000006191	SERPINA12	serpin family A member 12 [Source:HGNC Symbol;Acc:HGNC:18359]	21	59708512	59723931	-1
ENSBTAG00000002484	NARFL	Cytosolic Fe-S cluster assembly factor NARFL  [Source:UniProtKB/Swiss-Prot;Acc:A4FV58]	25	627456	633977	-1
ENSBTAG00000019685	BAG6	BCL2 associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]	23	27463438	27474655	1
ENSBTAG00000000955	RBM41	RNA binding motif protein 41 [Source:HGNC Symbol;Acc:HGNC:25617]	X	60601143	60666792	1
ENSBTAG00000007298	TEX29	testis expressed 29 [Source:HGNC Symbol;Acc:HGNC:20370]	12	89558328	89568424	1
ENSBTAG00000008125	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]	16	48081092	48137067	-1
ENSBTAG00000000446	ATP11A	ATPase phospholipid transporting 11A [Source:HGNC Symbol;Acc:HGNC:13552]	12	90353679	90402670	1
ENSBTAG00000014628	OAS2	2'-5'-oligoadenylate synthase 2  [Source:UniProtKB/Swiss-Prot;Acc:F1N3B8]	17	63611774	63640159	-1
ENSBTAG00000004375	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]	18	35735066	35741010	-1
ENSBTAG00000020737	SOX8	SRY-box 8 [Source:HGNC Symbol;Acc:HGNC:11203]	25	787493	790981	1
ENSBTAG00000007909	NOTCH2	notch 2 [Source:HGNC Symbol;Acc:HGNC:7882]	3	23307157	23478243	1
ENSBTAG00000026461	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	25	959758	984950	1
ENSBTAG00000003526	SYNE3	spectrin repeat containing nuclear envelope family member 3 [Source:HGNC Symbol;Acc:HGNC:19861]	21	61855015	61963799	-1
ENSBTAG00000013423	GLRX5	glutaredoxin 5 [Source:HGNC Symbol;Acc:HGNC:20134]	21	61986090	61996011	1
ENSBTAG00000000448	BDH1	3-hydroxybutyrate dehydrogenase, type 1 [Source:HGNC Symbol;Acc:HGNC:1027]	1	72572941	72608810	-1
ENSBTAG00000008967	RAP1B	RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]	5	45355308	45399175	-1
ENSBTAG00000024663	LAD1	ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]	16	49272707	49285532	-1
ENSBTAG00000017289	MCF2L	MCF.2 cell line derived transforming sequence like [Source:HGNC Symbol;Acc:HGNC:14576]	12	90438591	90504948	1
ENSBTAG00000010612	TMED4	transmembrane p24 trafficking protein 4 [Source:HGNC Symbol;Acc:HGNC:22301]	4	77540574	77543351	1
ENSBTAG00000016057	CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	16	49332770	49353517	-1
ENSBTAG00000006903		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MVP4]	3	23510977	23513257	1
ENSBTAG00000021919	NAV1	neuron navigator 1 [Source:HGNC Symbol;Acc:HGNC:15989]	16	49447984	49564506	1
ENSBTAG00000033801	VRK2	vaccinia related kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]	11	40548044	40650666	1
ENSBTAG00000047992	C17orf107	chromosome 17 open reading frame 107 [Source:HGNC Symbol;Acc:HGNC:37238]	19	27121211	27121973	-1
ENSBTAG00000004907	MINK1	misshapen-like kinase 1  [Source:RefSeq peptide;Acc:NP_001092846]	19	27123625	27170653	-1
ENSBTAG00000033726	GRIP1	glutamate receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18708]	5	47534237	47703486	1
ENSBTAG00000014100	BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]	25	1054501	1066815	1
ENSBTAG00000002394	TMEM44	transmembrane protein 44 [Source:HGNC Symbol;Acc:HGNC:25120]	1	73516016	73559858	1
ENSBTAG00000019836	GSKIP	GSK3B interacting protein [Source:HGNC Symbol;Acc:HGNC:20343]	21	62870563	62892534	1
ENSBTAG00000004452	IPO9	importin 9 [Source:HGNC Symbol;Acc:HGNC:19425]	16	49581178	49611835	1
ENSBTAG00000000569	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	1	73973533	73976720	-1
ENSBTAG00000001698	CHTF8	chromosome transmission fidelity factor 8 [Source:HGNC Symbol;Acc:HGNC:24353]	18	36458139	36469860	-1
ENSBTAG00000035709		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E1BFA2]	8	66018697	66030285	1
ENSBTAG00000036287	SAMD5	sterile alpha motif domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21180]	9	85917825	86020619	1
ENSBTAG00000038112		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:A6QQ36]	9	85948859	85961158	-1
ENSBTAG00000038011			11	44206549	44365502	-1
ENSBTAG00000018019	BCL11B	B-cell CLL/lymphoma 11B [Source:HGNC Symbol;Acc:HGNC:13222]	21	65841997	65938304	-1
ENSBTAG00000012653	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	4	77706698	77797331	1
ENSBTAG00000031998	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	19	27249528	27253097	1
ENSBTAG00000019628	EDAR	ectodysplasin A receptor [Source:HGNC Symbol;Acc:HGNC:2895]	11	44451547	44467795	1
ENSBTAG00000010698	VARS2	valyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21642]	23	27949626	27961526	-1
ENSBTAG00000012241	POLD2	DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]	4	77873883	77881765	1
ENSBTAG00000009346	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5 [Source:HGNC Symbol;Acc:HGNC:6889]	17	64508406	64530237	-1
ENSBTAG00000006945	CCDC50	coiled-coil domain containing 50 [Source:HGNC Symbol;Acc:HGNC:18111]	1	76545414	76624452	-1
ENSBTAG00000010242	LAMP1	lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499]	12	90609710	90621680	1
ENSBTAG00000017401	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	5	49502464	49542968	-1
ENSBTAG00000025181	CCDC85C	coiled-coil domain containing 85C [Source:HGNC Symbol;Acc:HGNC:35459]	21	66175707	66253519	-1
ENSBTAG00000026913	HHIPL1	HHIP like 1 [Source:HGNC Symbol;Acc:HGNC:19710]	21	66284693	66314293	1
ENSBTAG00000039329	RAET1G	retinoic acid early transcript 1G precursor  [Source:RefSeq peptide;Acc:NP_991354]	9	88232044	88402262	-1
ENSBTAG00000015704	TMCO3	transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329]	12	90698790	90720746	1
ENSBTAG00000004738	LRRC47	leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]	16	50540189	50551301	1
ENSBTAG00000003696	BICDL1	BICD family like cargo adaptor 1 [Source:HGNC Symbol;Acc:HGNC:28095]	17	64643561	64722444	1
ENSBTAG00000015935	IYD	Bos taurus iodotyrosine deiodinase (IYD), mRNA. [Source:RefSeq mRNA;Acc:NM_001102165]	9	88573768	88648650	1
ENSBTAG00000002912	INHBA	inhibin beta A subunit [Source:HGNC Symbol;Acc:HGNC:6066]	4	79986254	79997754	1
ENSBTAG00000005812	TP73	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	16	50596706	50646330	-1
ENSBTAG00000006969	TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	23	28101727	28105320	-1
ENSBTAG00000015460	TP63	tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]	1	78012414	78283420	-1
ENSBTAG00000015067	NHLH2	nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]	3	27593572	27596691	1
ENSBTAG00000039695	PPP1R18	protein phosphatase 1 regulatory subunit 18 [Source:HGNC Symbol;Acc:HGNC:29413]	23	28128194	28137021	1
ENSBTAG00000019963	GRK1	G protein-coupled receptor kinase 1 [Source:HGNC Symbol;Acc:HGNC:10013]	12	90769074	90783057	1
ENSBTAG00000048307			15	49833389	49834463	-1
ENSBTAG00000019965	TMEM255B	transmembrane protein 255B [Source:HGNC Symbol;Acc:HGNC:28297]	12	90796151	90813125	1
ENSBTAG00000009293	EVL	Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234]	21	66675974	66738876	1
ENSBTAG00000002564	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	19	27543283	27565410	-1
ENSBTAG00000007245	IFT140	intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077]	25	1182105	1237269	-1
ENSBTAG00000013648			4	82104338	82495300	-1
ENSBTAG00000015859	WRAP73	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]	16	50674472	50686441	1
ENSBTAG00000020819	YY1	YY1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12856]	21	66817739	66842006	1
ENSBTAG00000013666	SLC25A29	solute carrier family 25 member 29 [Source:HGNC Symbol;Acc:HGNC:20116]	21	66852437	66865682	-1
ENSBTAG00000014636	ZFHX3	zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:777]	18	38325141	38491680	1
ENSBTAG00000006958	C6orf136	chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]	23	28152665	28156380	-1
ENSBTAG00000017716	BEGAIN	brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163]	21	67072575	67100143	-1
ENSBTAG00000009504	REEP4	receptor accessory protein 4 [Source:HGNC Symbol;Acc:HGNC:26176]	8	69953831	69957840	-1
ENSBTAG00000020192	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	21	68377171	68473921	1
ENSBTAG00000011857	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:HGNC Symbol;Acc:HGNC:18583]	5	50861334	51163885	1
ENSBTAG00000013265	DHX38	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16  [Source:RefSeq peptide;Acc:NP_001069266]	18	39146106	39161155	-1
ENSBTAG00000003151			1	81234018	81252216	-1
ENSBTAG00000000678	CSDE1	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]	3	28695271	28723718	1
ENSBTAG00000002940	WNT16	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	4	86598084	86609355	1
ENSBTAG00000018108	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	17	64818100	64833437	-1
ENSBTAG00000018965	PRDM16	PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]	16	50847258	50898579	-1
ENSBTAG00000005110	CADPS2	calcium dependent secretion activator 2 [Source:HGNC Symbol;Acc:HGNC:16018]	4	87522151	88100974	-1
ENSBTAG00000002211	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:6884]	25	1304435	1348409	1
ENSBTAG00000000184	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3 [Source:HGNC Symbol;Acc:HGNC:3255]	11	47302536	47384700	1
ENSBTAG00000009800	MSI1	RNA-binding protein Musashi homolog 1  [Source:RefSeq peptide;Acc:NP_001074996]	17	64913867	64937017	-1
ENSBTAG00000001727	FAM213B	family with sequence similarity 213 member B [Source:HGNC Symbol;Acc:HGNC:28390]	16	51553541	51556655	-1
ENSBTAG00000002464	PLCH2	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	16	51607338	51633655	-1
ENSBTAG00000016552	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	25	1348415	1349600	-1
ENSBTAG00000016561	NUBP2	Cytosolic Fe-S cluster assembly factor NUBP2  [Source:UniProtKB/Swiss-Prot;Acc:Q3MHY6]	25	1360579	1365802	1
ENSBTAG00000009306	MORN1	MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]	16	51699103	51749791	1
ENSBTAG00000019998	HAGH	Hydroxyacylglutathione hydrolase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q3B7M2]	25	1379295	1391295	-1
ENSBTAG00000010878	HYDIN	HYDIN, axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]	18	39992340	40315416	1
ENSBTAG00000019249	HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]	25	1486479	1492437	-1
ENSBTAG00000005466		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1N4V4]	8	70406944	70412090	1
ENSBTAG00000038716	SKI	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	16	51766102	51819356	-1
ENSBTAG00000019615	PHTF1	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]	3	29771659	29843496	1
ENSBTAG00000016370			19	27784052	27785620	1
ENSBTAG00000014119	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	16	51848098	51947503	-1
ENSBTAG00000018449	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	15	52419502	52450409	-1
ENSBTAG00000007643	TRIM39-RPP21	TRIM39-RPP21 readthrough [Source:HGNC Symbol;Acc:HGNC:38845]	23	28257737	28271232	-1
ENSBTAG00000021140	RMND5A	required for meiotic nuclear division 5 homolog A [Source:HGNC Symbol;Acc:HGNC:25850]	11	48010205	48066194	-1
ENSBTAG00000007156	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16921]	5	56051446	56062903	1
ENSBTAG00000005231			16	52023631	52076607	1
ENSBTAG00000007914			4	92315807	92316363	-1
ENSBTAG00000018003	ARHGEF25	Rho guanine nucleotide exchange factor 25 [Source:HGNC Symbol;Acc:HGNC:30275]	5	56205533	56212752	1
ENSBTAG00000023289		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MWU6]	5	56214540	56219323	1
ENSBTAG00000031916	RHOBTB2	rho-related BTB domain-containing protein 2  [Source:RefSeq peptide;Acc:NP_001096574]	8	70834527	70896918	-1
ENSBTAG00000010692	SND1	staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]	4	92679169	93108507	1
ENSBTAG00000000215	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	16	52106960	52184132	1
ENSBTAG00000014291	WNT2B	Wnt family member 2B [Source:HGNC Symbol;Acc:HGNC:12781]	3	30942961	30957520	-1
ENSBTAG00000013528	CHMP7	Bos taurus charged multivesicular body protein 7 (CHMP7), mRNA. [Source:RefSeq mRNA;Acc:NM_001099119]	8	71228581	71251787	1
ENSBTAG00000031749			16	52222594	52236396	1
ENSBTAG00000018717	DDX20	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]	3	31693938	31704445	-1
ENSBTAG00000024000	ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	11	48954369	48996567	-1
ENSBTAG00000005462	FXR2	fragile X mental retardation syndrome-related protein 2  [Source:RefSeq peptide;Acc:NP_001193218]	19	27932717	27940208	-1
ENSBTAG00000039728			16	52249583	52372101	-1
ENSBTAG00000019167	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	15	52609012	52623088	1
ENSBTAG00000010732	MMP23B	matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171]	16	52260743	52263073	-1
ENSBTAG00000010047	TIAM2	T-cell lymphoma invasion and metastasis 2 [Source:HGNC Symbol;Acc:HGNC:11806]	9	93127891	93241341	1
ENSBTAG00000010691	USP39	ubiquitin specific peptidase 39 [Source:HGNC Symbol;Acc:HGNC:20071]	11	49190710	49227244	-1
ENSBTAG00000014485	POF1B	premature ovarian failure, 1B [Source:HGNC Symbol;Acc:HGNC:13711]	X	74869019	74967178	1
ENSBTAG00000007007	WDR20	WD repeat-containing protein 20  [Source:RefSeq peptide;Acc:NP_001178085]	21	68639658	68696036	1
ENSBTAG00000002698	UBE3B	ubiquitin protein ligase E3B [Source:HGNC Symbol;Acc:HGNC:13478]	17	65905227	65944588	-1
ENSBTAG00000007008	MOK	MOK protein kinase [Source:HGNC Symbol;Acc:HGNC:9833]	21	68706703	68736526	-1
ENSBTAG00000006253	FLNC	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]	4	93609408	93636607	1
ENSBTAG00000008419	PDE2A	cGMP-dependent 3',5'-cyclic phosphodiesterase isoform PDE2A3  [Source:RefSeq peptide;Acc:NP_001137318]	15	52913333	52984107	-1
ENSBTAG00000020619	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	25	1627978	1666088	-1
ENSBTAG00000010616	MBD6	methyl-CpG binding domain protein 6 [Source:HGNC Symbol;Acc:HGNC:20445]	5	56276101	56281781	-1
ENSBTAG00000010882	ANKRD9	ankyrin repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20096]	21	68908374	68911835	-1
ENSBTAG00000014008	NKX2-6	NK2 homeobox 6 [Source:HGNC Symbol;Acc:HGNC:32940]	8	71698454	71702901	-1
ENSBTAG00000003089	RHPN2	rhophilin Rho GTPase binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19974]	18	43574291	43644737	-1
ENSBTAG00000001071	WRAP53	WD repeat containing antisense to TP53 [Source:HGNC Symbol;Acc:HGNC:25522]	19	27998930	28010744	1
ENSBTAG00000007201	TMEM242	UPF0463 transmembrane protein C6orf35 homolog  [Source:RefSeq peptide;Acc:NP_001039693]	9	95353542	95394421	-1
ENSBTAG00000002697	KCTD10	potassium channel tetramerization domain containing 10 [Source:HGNC Symbol;Acc:HGNC:23236]	17	65950166	65979498	1
ENSBTAG00000004874	AURKAIP1	aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]	16	52398515	52402983	1
ENSBTAG00000015750	AMN	amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]	21	69266381	69276985	1
ENSBTAG00000020966	ALX3	ALX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:449]	3	33469022	33478299	1
ENSBTAG00000000817	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]	9	96023880	96091443	1
ENSBTAG00000016456	CDC42BPB	CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738]	21	69279222	69333371	-1
ENSBTAG00000047062	LRP3	LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]	18	43834325	43846316	1
ENSBTAG00000046544	SLC7A10	asc-type amino acid transporter 1  [Source:RefSeq peptide;Acc:NP_001098459]	18	43847481	43863539	-1
ENSBTAG00000031871	NKAPL	NKAP-like protein  [Source:RefSeq peptide;Acc:NP_001095968]	23	30175393	30179010	-1
ENSBTAG00000047475		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MJN6]	11	49714025	49715693	-1
ENSBTAG00000005083	TULP4	tubby like protein 4 [Source:HGNC Symbol;Acc:HGNC:15530]	9	96258011	96398625	1
ENSBTAG00000004989	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	4	93706154	93717881	1
ENSBTAG00000016494	RELT	RELT tumor necrosis factor receptor [Source:HGNC Symbol;Acc:HGNC:13764]	15	53663176	53669426	1
